Club, Club-Speed(mph), Attack-Angle(deg), Ball-Speed(mph), Smash, Factor(deg), Launch-Ang.-Spin-Rate(rpm), Max-Height(meters), Land-Angle(deg), Carry(meters)
Driver, 113, -1.3°, 167, 1.48, 10.9°, 2686, 29, 38°, 251
3-wood, 107, -2.9°, 158, 1.48, 9.2°, 3655, 27, 43°, 222
5-wood, 103, -3.3°, 152, 1.47, 9.4°, 4350, 28, 47°, 210
Hybrid(15-18°), 100, -3.5°, 146, 1.46, 10.2°, 4437, 27, 47°, 206
3-Iron, 98, -3.1°, 142, 1.45, 10.4°, 4630, 25, 46°, 194
4-Iron, 96, -3.4°, 137, 1.43, 11.0°, 4836, 26, 48°, 186
5-Iron, 94, -3.7°, 132, 1.41, 12.1°, 5361, 28, 49°, 177
6-Iron, 92, -4.1°, 127, 1.38, 14.1°, 6231, 27, 50°, 167
7-Iron, 90, -4.3°, 120, 1.33, 16.3°, 7097, 29, 50°, 157
8-Iron, 87, -4.5°, 115, 1.32, 18.1°, 7998, 28, 50°, 146
9-Iron, 85, -4.7°, 109, 1.28, 20.4°, 8647, 27, 51°, 135
PW, 83, -5.0°, 102, 1.23, 24.2°, 9304, 27, 52°, 124